strat,params,tp,sl,mh,train_N,train_EV,train_PnL,train_PF,train_WR,test_N,test_EV,test_PnL,test_PF,test_WR,test_max_dd,test_sharpe,test_t_stat,full_N,full_EV,full_PnL,full_PF,full_WR,full_max_dd,full_final_equity,full_sharpe,full_t_stat,symbol,tf,combined_N,combined_PnL,combined_EV
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",3.0,1.5,12,23,0.4974021739130491,11.44025000000013,1.5624024481669545,52.17391304347826,8,0.3996250000000084,3.197000000000068,1.4322022441530458,50.0,-1.849249999999996,0.4701499050343878,0.4701499050343878,32,0.540179687500006,17.285750000000192,1.623162543373448,53.125,-5.445790625874623,1.1786874624078711,1.3399965248765855,1.3399965248765855,ICPUSDT,4h,31,14.637250000000195,0.472169354838716
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",3.0,1.5,24,23,0.4974021739130491,11.44025000000013,1.5624024481669545,52.17391304347826,8,0.3996250000000084,3.197000000000068,1.4322022441530458,50.0,-1.849249999999996,0.4701499050343878,0.4701499050343878,32,0.540179687500006,17.285750000000192,1.623162543373448,53.125,-5.445790625874623,1.1786874624078711,1.3399965248765855,1.3399965248765855,ICPUSDT,4h,31,14.637250000000195,0.472169354838716
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",2.5,1.0,6,23,0.5164632676873812,11.878655156809764,1.9515037637710289,56.52173913043478,8,0.3996250000000061,3.197000000000049,1.5922563912560348,50.0,-1.3494999999999937,0.6044784493299257,0.6044784493299257,32,0.5382626611503066,17.224405156809812,1.96322122665372,56.25,-3.994111256726215,1.182204941001675,1.798931982001511,1.798931982001511,ICPUSDT,4h,31,15.075655156809814,0.4863114566712843
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",2.5,1.0,12,23,0.4756739130434758,10.940499999999943,1.737006972279294,52.17391304347826,8,0.3996250000000061,3.197000000000049,1.5922563912560348,50.0,-1.3494999999999937,0.6044784493299257,0.6044784493299257,32,0.5089453124999997,16.286249999999992,1.8045572434234936,53.125,-3.994111256726218,1.1707153759206266,1.6232335522400998,1.6232335522401,ICPUSDT,4h,31,14.137499999999992,0.4560483870967739
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",2.5,1.0,24,23,0.4756739130434758,10.940499999999943,1.737006972279294,52.17391304347826,8,0.3996250000000061,3.197000000000049,1.5922563912560348,50.0,-1.3494999999999937,0.6044784493299257,0.6044784493299257,32,0.5089453124999997,16.286249999999992,1.8045572434234936,53.125,-3.994111256726218,1.1707153759206266,1.6232335522400998,1.6232335522401,ICPUSDT,4h,31,14.137499999999992,0.4560483870967739
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",3.0,1.5,6,23,0.3643654416004319,8.380405156809934,1.4450303608364223,52.17391304347826,8,0.3996250000000084,3.197000000000068,1.4322022441530458,50.0,-1.849249999999996,0.4701499050343878,0.4701499050343878,32,0.4445595361503123,14.225905156809992,1.5423920358761,53.125,-5.445790625874623,1.1441235172026851,1.1536607383234263,1.1536607383234263,ICPUSDT,4h,31,11.577405156810002,0.373464682477742
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",2.5,1.5,24,23,0.4104891304347793,9.441249999999924,1.5105448154657255,56.52173913043478,8,0.1497500000000042,1.198000000000034,1.1619575503582589,50.0,-1.8492499999999925,0.1981997292806075,0.1981997292806075,32,0.3996249999999987,12.787999999999958,1.4939454218891823,56.25,-5.445790625874623,1.129030651765216,1.121864522759283,1.121864522759283,ICPUSDT,4h,31,10.639249999999958,0.3432016129032244
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",2.5,1.5,12,23,0.4104891304347793,9.441249999999924,1.5105448154657255,56.52173913043478,8,0.1497500000000042,1.198000000000034,1.1619575503582589,50.0,-1.8492499999999925,0.1981997292806075,0.1981997292806075,32,0.3996249999999987,12.787999999999958,1.4939454218891823,56.25,-5.445790625874623,1.129030651765216,1.121864522759283,1.121864522759283,ICPUSDT,4h,31,10.639249999999958,0.3432016129032244
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",2.0,1.0,12,24,0.3996250000000052,9.591000000000124,1.7107076695072363,58.333333333333336,8,0.1497500000000104,1.198000000000084,1.221934049648035,50.0,-1.3494999999999966,0.2642663057074873,0.2642663057074873,33,0.3769090909090975,12.438000000000216,1.6583390673794671,57.57575757575758,-3.994111256726215,1.1281040811152852,1.4387345407291905,1.4387345407291905,ICPUSDT,4h,32,10.78900000000021,0.3371562500000065
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",2.0,1.0,24,24,0.3996250000000052,9.591000000000124,1.7107076695072363,58.333333333333336,8,0.1497500000000104,1.198000000000084,1.221934049648035,50.0,-1.3494999999999966,0.2642663057074873,0.2642663057074873,33,0.3769090909090975,12.438000000000216,1.6583390673794671,57.57575757575758,-3.994111256726215,1.1281040811152852,1.4387345407291905,1.4387345407291905,ICPUSDT,4h,32,10.78900000000021,0.3371562500000065
