ts,equity
1751515200000,1091.868892144108
1751544000000,1085.0329335940526
1751817600000,1090.6677541310414
1751875200000,1084.1651927148487
1751904000000,1079.6103695582851
1752048000000,1092.0852320482584
1752062400000,1097.1001655136017
1752105600000,1115.98817134166
1752177600000,1121.135925319833
1752235200000,1126.4200175621177
1752480000000,1119.1072289065717
1752595200000,1132.4112331319411
1752667200000,1138.00161268331
1752696000000,1133.1909374678746
1752739200000,1138.4875681601156
1752782400000,1143.9244801162404
1753070400000,1149.6629208700274
1753488000000,1142.5438597294117
1753531200000,1148.4342830865626
1753603200000,1141.286254587428
1754236800000,1147.332685807193
1754352000000,1140.4240090423518
1754568000000,1153.6779849931902
1754611200000,1148.7281816217553
1754676000000,1141.7763472273327
1754856000000,1133.9293761764914
1755014400000,1148.0642776389022
1755028800000,1154.0630215612414
1755432000000,1147.2744857567436
1755446400000,1139.6800294731904
1755446400000,1131.894946307747
1755705600000,1137.8463790352325
1755878400000,1143.9554354585055
1755892800000,1136.6152795436071
1755972000000,1129.9862064451572
1756281600000,1136.2570612278005
1756843200000,1142.693999599362
1756929600000,1135.599628805274
1757260800000,1145.4736826256324
1757260800000,1152.0811033099649
1757260800000,1157.5309163369552
1757404800000,1152.5693677387112
1757635200000,1158.032112449097
1757743200000,1151.5587562777296
1757764800000,1146.5854345828116
1757836800000,1138.0104195125664
1758153600000,1144.565728459588
1758168000000,1137.3782799793653
1758916800000,1144.1072062838487
1759320000000,1149.5829133627992
1759320000000,1163.371699920242
1759428000000,1157.0504028853402
1760299200000,1163.9575448029977
1760788800000,1171.0476223743447
1760990400000,1166.0624996467554
1761062400000,1156.8610994441517
1761076800000,1149.4526051584132
1761220800000,1156.4867643498712
1761336000000,1149.3263434952908
1761408000000,1154.815043700787
1761998400000,1168.5519790119693
1762027200000,1159.4231488746234
1762041600000,1176.8891259372183
1762372800000,1168.0659746770216
1762747200000,1173.7000431074605
1763236800000,1165.1723350672116
1763452800000,1171.6914793900953
1763870400000,1178.3832832503708
1764014400000,1173.2539872203947
1764691200000,1180.1230235059095
1765166400000,1187.1739862174463
1765324800000,1179.7933507762864
1765396800000,1172.659855912874
1765512000000,1163.5092184100233
1765929600000,1170.504571234712
1766073600000,1161.4261034393098
1766145600000,1152.6516281380366
1766260800000,1166.336907183983
1766649600000,1158.9840258272184
1766692800000,1150.503363831408
1766736000000,1156.9865430447842
1766836800000,1149.8798729202508
1766980800000,1144.871064054019
1767153600000,1151.5259502688614
1767297600000,1165.1597672973921
1767369600000,1170.674546322035
1767484800000,1189.3013995500953
1767499200000,1194.9622374972057
1767585600000,1200.7730027373455
1768161600000,1207.6041436135881
1768305600000,1222.1441322909202
1768305600000,1242.0090193187834
1768348800000,1236.718857254662
1768809600000,1252.225246279433
1769025600000,1243.3598903774475
1769457600000,1250.1371550687331
1770048000000,1241.3417189009383
1770408000000,1248.0655323206684
1770897600000,1239.3394644405923
1770984000000,1246.0102481509405
1771056000000,1262.5472693222428
1771070400000,1268.3718227374995
1771297200000,1264.6733227374996
1771549200000,1269.0214897924639
1771574400000,1275.8689492093806
1771974000000,1285.19414248576
1771992000000,1292.2229568653338
1772020800000,1309.8591111487867
1772024400000,1319.617692782686
1772046000000,1315.5542721071438
1772049600000,1310.251557190184
1772150400000,1331.4367639343543
1772305200000,1341.4600281737933
1772334000000,1337.2863950911456
1772337600000,1328.1645013734174
1772467200000,1319.3480542668271
1772474400000,1311.3631572130425
1772582400000,1318.103032784727
1772586000000,1314.0065806118605
1772614800000,1309.9858820808004
1772640000000,1304.80772793724
1773057600000,1295.332104561169
1773057600000,1302.2504857373697
1773064800000,1303.45000820133
1773216000000,1321.6285521715422
1773230400000,1313.8312203495507
1773241200000,1309.8626924169116
1773320400000,1305.9675524870668
1773363600000,1302.1444434323746
1773406800000,1298.3920332218763
1773540000000,1307.648126075116
1773619200000,1317.33439584371
1773619200000,1324.4360103453623
1773633600000,1330.137241240754
1773709200000,1326.1039308352892
1774062000000,1322.1452064224973
1774080000000,1312.9288337584806
1774267200000,1322.6938430963914
1774281600000,1329.7394482281136
1774443600000,1325.6733510913439
1774843200000,1316.5296665781461
1774864800000,1312.5387617426782
1774983600000,1308.6216587148801
1774987200000,1298.8546180427143
1775210400000,1297.7114054122142
1775217600000,1316.4490199491308
1775232000000,1323.4390574484346
1775437200000,1319.6155323079477
1775469600000,1315.8627137061212
1775592000000,1325.1198139407084
1775606400000,1319.9293727242475
1775606400000,1310.8578030813098
1775606400000,1332.402118749503
1775610000000,1328.5475122195828
1775750400000,1335.4824203400624
1775750400000,1336.9337356937026
1775934000000,1333.1235720258596
1776099600000,1342.5221256799684
1776124800000,1348.2368848400067
1776124800000,1338.1694645019797
1776268800000,1348.0048159371634
1776283200000,1367.318694931509
1776297600000,1374.4372740935596
1776355200000,1380.3033886499516
1776369600000,1376.2080014438725
1776380400000,1372.188348185702
1776441600000,1368.2430283654078
1776772800000,1360.1227798928694
1776787200000,1367.4298946240267
1776830400000,1363.5575336305096
1776844800000,1353.1804956243755
1777089600000,1343.6974277325035
1777262400000,1339.896676374659
1777438800000,1336.1662104112993
1777464000000,1327.0006830477864
1777593600000,1334.0074186672598
1777611600000,1332.8852289397698
1777842000000,1337.484696409496
1777867200000,1343.5061750099142
1777953600000,1363.4140411405415
1778004000000,1385.8505874348937
1778018400000,1387.9224504627489
1778263200000,1397.382309626772
1778270400000,1404.5746186391268
1778439600000,1400.635584386313
1778443200000,1395.153587378104
1778515200000,1385.8195126888618
1778529600000,1381.9533210269683
1778770800000,1378.158624914382
1778788800000,1372.805400015896
1779148800000,1379.9409843642986
1779267600000,1384.249054695616
1779422400000,1373.5528769097332
1779570000000,1369.7486872244074
1779580800000,1366.0148465168372
1779595200000,1356.754388276658
1779609600000,1346.4163720039355
1779710400000,1366.24937674883
1779793200000,1362.5845840905447
1779861600000,1354.1280457821717
1780070400000,1345.1776739861648
1780228800000,1336.9197797626555
1780286400000,1326.2638238009424
1780293600000,1318.1999075127433
1780804800000,1325.042163979105
1780804800000,1334.0821300889017
1780876800000,1330.3179370355645
1780927200000,1326.6233533222658
1781107200000,1317.7435717680721
1781150400000,1324.5318643824826
1781150400000,1333.6453162670027
1781287200000,1332.6725118296247
1781337600000,1353.115469121893
1781474400000,1362.6072575965193
1781481600000,1368.5012442054704
1781481600000,1375.4693247497735
1781524800000,1367.5948298551843
1781535600000,1363.6425004099206
1781712000000,1352.6588267086538
1781924400000,1358.0480869409935
