strat,params,exit_mode,exit_label,exit_cfg,mh,train_N,train_EV,train_PnL,train_PF,train_WR,test_N,test_EV,test_PnL,test_PF,test_WR,test_max_dd,test_t_stat,full_N,full_EV,full_PnL,full_PF,full_WR,full_max_dd,full_final_equity,full_sharpe,full_t_stat,symbol,tf,combined_N
EMA_CROSS,"{""fast"": 5, ""slow"": 30}",atr,ATR_3.0_1.5,"{""mode"": ""atr"", ""tp_atr_mult"": 3.0, ""sl_atr_mult"": 1.5, ""label"": ""ATR_3.0_1.5""}",24,35,0.14539262043213172,5.08874171512461,1.0691777658003883,42.857142857142854,22,1.1688956935682142,25.715705258500712,1.5520942015790828,50.0,-9.177527420828559,0.9279169186376449,59,0.4379385985248313,25.838377312965047,1.206510759424583,45.76271186440678,-15.535024750873594,1.1973409759232017,0.6432806003648249,0.6432806003648249,ICPUSDT,4h,57
EMA_CROSS,"{""fast"": 9, ""slow"": 30}",atr,ATR_1.5_1.0,"{""mode"": ""atr"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""label"": ""ATR_1.5_1.0""}",24,28,0.5436115353738323,15.221122990467304,1.456147918649767,57.14285714285714,20,0.46485913942832546,9.29718278856651,1.339448389925474,50.0,-8.852117354087422,0.5961606871134825,50,0.5075071641689476,25.375358208447377,1.3952882990184166,54.0,-12.378487147748695,1.2556765106883252,1.1079791311131817,1.1079791311131817,ICPUSDT,4h,48
EMA_CROSS,"{""fast"": 9, ""slow"": 30}",atr,ATR_1.5_1.0,"{""mode"": ""atr"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""label"": ""ATR_1.5_1.0""}",36,28,0.5436115353738323,15.221122990467304,1.456147918649767,57.14285714285714,20,0.46485913942832546,9.29718278856651,1.339448389925474,50.0,-8.852117354087422,0.5961606871134825,50,0.5075071641689476,25.375358208447377,1.3952882990184166,54.0,-12.378487147748695,1.2556765106883252,1.1079791311131817,1.1079791311131817,ICPUSDT,4h,48
EMA_CROSS,"{""fast"": 9, ""slow"": 30}",atr,ATR_3.0_1.5,"{""mode"": ""atr"", ""tp_atr_mult"": 3.0, ""sl_atr_mult"": 1.5, ""label"": ""ATR_3.0_1.5""}",36,27,0.25230838300394537,6.812326341106525,1.1184399854459204,40.74074074074074,19,1.1834025137795074,22.484647761810642,1.558759132584982,47.368421052631575,-12.602018647055962,0.8514284835855482,47,0.517091159016214,24.303284473762062,1.2365257196638915,42.5531914893617,-17.52101009843184,1.1927899732616725,0.652335431709406,0.652335431709406,ICPUSDT,4h,46
EMA_CROSS,"{""fast"": 9, ""slow"": 30}",atr,ATR_1.5_1.0,"{""mode"": ""atr"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""label"": ""ATR_1.5_1.0""}",12,28,0.5436115353738323,15.221122990467304,1.456147918649767,57.14285714285714,20,0.39849817575548374,7.969963515109675,1.3082394055676199,50.0,-7.419941379873547,0.5520384746120832,50,0.48096277869981086,24.048138934990543,1.3837762389968133,54.0,-11.001719834142921,1.2411573479666764,1.0852967584772453,1.0852967584772455,ICPUSDT,4h,48
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 2, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",chandelier,CHAN_3.5,"{""mode"": ""chandelier"", ""chandelier_atr_mult"": 3.5, ""label"": ""CHAN_3.5""}",12,22,0.9568769521538033,21.051292947383672,1.5060626004431128,45.45454545454545,9,0.6782800603363877,6.104520543027489,1.2551540869094273,44.44444444444444,-10.237457920359727,0.27544349258740275,32,0.7471820533776357,23.90982570808434,1.347683061955382,43.75,-16.619533966922226,1.1919706950010966,0.6466917228982975,0.6466917228982973,ICPUSDT,4h,31
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 2, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",atr,ATR_1.5_1.0,"{""mode"": ""atr"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""label"": ""ATR_1.5_1.0""}",12,25,0.7364773693760432,18.41193423440108,1.6646118426432772,64.0,10,0.007830033976827976,0.07830033976827977,1.0045726582999657,50.0,-9.279388692418404,0.006256363184344222,36,0.6479681314990802,23.326852733966888,1.5203764227511962,61.111111111111114,-12.166315225151033,1.2382617135276799,1.1843672246137043,1.1843672246137043,ICPUSDT,4h,35
RSI_OS,"{""rsi_period"": 14, ""rsi_os"": 30, ""vol_filter"": true}",hybrid,HYBRID_1.5_2.5_3.0,"{""mode"": ""hybrid"", ""initial_sl_atr_mult"": 1.5, ""chandelier_atr_mult"": 2.5, ""tp_atr_mult"": 3.0, ""label"": ""HYBRID_1.5_2.5_3.0""}",24,20,1.296705263477632,25.93410526955264,1.6066628865664823,40.0,16,0.026848055881554533,0.42956889410487253,1.0149738856904686,43.75,-12.192551233900483,0.0259715839560398,37,0.6151822862736839,22.761744592126302,1.3033338458801629,40.54054054054054,-22.82034707117863,1.184914299988551,0.6475653384156478,0.6475653384156478,XRPUSDT,4h,36
EMA_CROSS,"{""fast"": 5, ""slow"": 30}",atr,ATR_2.0_1.5,"{""mode"": ""atr"", ""tp_atr_mult"": 2.0, ""sl_atr_mult"": 1.5, ""label"": ""ATR_2.0_1.5""}",24,35,0.39049516292175285,13.66733070226135,1.2264654089268843,51.42857142857142,22,0.2944792839534758,6.478544246976467,1.1390888049724741,50.0,-9.177527420828557,0.28058921392319436,59,0.35315604164946096,20.836206457318198,1.186188732649989,50.847457627118644,-15.404733777292352,1.1637606065448682,0.6141089469383015,0.6141089469383016,ICPUSDT,4h,57
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 3, ""use_trend"": true, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",atr,ATR_2.0_1.0,"{""mode"": ""atr"", ""tp_atr_mult"": 2.0, ""sl_atr_mult"": 1.0, ""label"": ""ATR_2.0_1.0""}",36,23,0.392415912903172,9.025565996772956,1.2606133580401184,47.82608695652174,8,0.46844137238661165,3.7475309790928932,1.2531860149682945,50.0,-6.620078787487384,0.27030101877758544,32,0.6043308704873718,19.338587855595897,1.391204029529208,50.0,-9.591630326738915,1.1838140825609846,0.8622032417046741,0.862203241704674,ICPUSDT,4h,31
